Course_ID,Section_ID,Title,Details,Meetings_Days,Meetings_Time,Term_Dates,Instructor,Instructor_last,CU,Starting_Time,Term,base_course_quality,base_instructor_quality,base_difficulty,base_work_required,review_rCourseQuality,review_rInstructorQuality,review_rDifficulty,review_rWorkRequired
HCMG-8660,HCMG-8660‐001,The Digital Transformation of Health Care,,R,3:30p - 4:59p,"Full, 20 Jan - 23 Apr",Adusumalli,Adusumalli,0.5,3:30p,Full,2.361,2.812,1.585,1.695,2.6199999999999997,2.9466666666666668,1.5366666666666664,1.8366666666666667
HCMG-8680,HCMG-8680‐001,Private Sector Role in Global Health,,M,5:15p - 6:44p,"Full, 20 Jan - 23 Apr",Sammut,Sammut,0.5,5:15p,Full,2.626,2.847,1.613,1.858,2.62625,2.846875,1.6131250000000001,1.8574999999999995
HCMG-8740,HCMG-8740‐001,Building Value-Oriented Healthcare Services Companies,,W,3:30p - 6:29p,"Q1, 20 Jan - 2 Mar",Hayek,Hayek,0.5,3:30p,Q1,,,,,,,,
LGST-6110,LGST-6110‐001,Responsibility in Global Management,Cannot be taken Pass/Fail.,TR,8:30a - 9:59a,"Q1, 20 Jan - 2 Mar",Friedman,Friedman,0.5,8:30a,Q1,2.586,2.943,1.878,2.025,,,,
LGST-6110,LGST-6110‐002,Responsibility in Global Management,Cannot be taken Pass/Fail.,TR,8:30a - 9:59a,"Q2, 16 Mar - 23 Apr",Friedman,Friedman,0.5,8:30a,Q2,2.586,2.943,1.878,2.025,,,,
LGST-6120,LGST-6120‐001,Responsibility in Business,Cannot be taken Pass/Fail.,TR,8:30a - 9:59a,"Q1, 20 Jan - 2 Mar",Sarachan,Sarachan,0.5,8:30a,Q1,2.625,2.973,1.818,2.047,2.5168749999999998,2.82375,1.700625,2.0649999999999995
LGST-6120,LGST-6120‐002,Responsibility in Business,Cannot be taken Pass/Fail.,TR,8:30a - 9:59a,"Q2, 16 Mar - 23 Apr",Sarachan,Sarachan,0.5,8:30a,Q2,2.625,2.973,1.818,2.047,2.5168749999999998,2.82375,1.700625,2.0649999999999995
LGST-6120,LGST-6120‐003,Responsibility in Business,Cannot be taken Pass/Fail.,TR,10:15a - 11:44a,"Q1, 20 Jan - 2 Mar",Sarachan,Sarachan,0.5,10:15a,Q1,2.625,2.973,1.818,2.047,2.5168749999999998,2.82375,1.700625,2.0649999999999995
LGST-6120,LGST-6120‐004,Responsibility in Business,Cannot be taken Pass/Fail.,TR,10:15a - 11:44a,"Q2, 16 Mar - 23 Apr",Sarachan,Sarachan,0.5,10:15a,Q2,2.625,2.973,1.818,2.047,2.5168749999999998,2.82375,1.700625,2.0649999999999995
LGST-6120,LGST-6120‐005,Responsibility in Business,Cannot be taken Pass/Fail.,T,3:30p - 6:29p,"Q1, 20 Jan - 2 Mar",Shell,Shell,0.5,3:30p,Q1,2.625,2.973,1.818,2.047,3.1907692307692304,3.5046153846153842,2.0500000000000003,2.2861538461538458
LGST-6130,LGST-6130‐001,"Business, Social Responsibility, and the Environment",Cannot be taken Pass/Fail.,TR,10:15a - 11:44a,"Q1, 20 Jan - 2 Mar",Orts,Orts,0.5,10:15a,Q1,2.694,3.114,1.477,1.829,2.563125,2.94375,1.396875,1.7712500000000002
LGST-6130,LGST-6130‐002,"Business, Social Responsibility, and the Environment",Cannot be taken Pass/Fail.,TR,10:15a - 11:44a,"Q2, 16 Mar - 23 Apr",Orts,Orts,0.5,10:15a,Q2,2.694,3.114,1.477,1.829,2.563125,2.94375,1.396875,1.7712500000000002
LGST-6420,LGST-6420‐001,"Big Data, Big Responsibilities: Toward Accountable Artificial Intelligence",,TR,10:15a - 11:44a,"Q1, 20 Jan - 2 Mar",Werbach,Werbach,0.5,10:15a,Q1,3.25,3.72,1.8,2.12,3.25,3.72,1.8,2.12
LGST-6430,LGST-6430‐001,"Other People's Money: The Law, Politics, and History of Financial Institutions",,W,3:30p - 6:29p,"Full, 20 Jan - 23 Apr",Van Loo,Loo,1.0,3:30p,Full,3.303,3.436,2.276,2.581,,,,
LGST-6470,LGST-6470‐001,The Business and Governance of Water,,W,3:30p - 6:29p,"Full, 20 Jan - 23 Apr",Powelson,Powelson,1.0,3:30p,Full,2.02,2.22,0.97,1.19,,,,
LGST-8020,LGST-8020‐401,Law of Corporate Management and Finance,,TR,3:30p - 4:59p,"Full, 14 Jan - 29 Apr",Orts,Orts,1.0,3:30p,Full,3.289,3.519,2.413,2.411,2.978,3.2640000000000002,2.578,2.556
LGST-8050,LGST-8050‐401MKTG-7600‐401,Antitrust and Big Tech,,MW,8:30a - 9:59a,"Full, 14 Jan - 29 Apr",Hovenkamp,Hovenkamp,1.0,8:30a,Full,2.867,3.198,2.391,2.355,2.6233333333333335,2.9749999999999996,2.4999999999999996,1.9483333333333333
LGST-8060,LGST-8060‐406,Negotiations,Cannot be taken Pass/Fail.,T,3:30p - 6:29p,"Full, 20 Jan - 23 Apr",Bhatia,Bhatia,1.0,3:30p,Full,3.101,3.108,1.919,2.08,3.3247058823529407,3.3982352941176472,2.0423529411764707,2.2564705882352936
LGST-8060,LGST-8060‐407,Negotiations,Cannot be taken Pass/Fail.,MW,1:45p - 3:14p,"Full, 20 Jan - 23 Apr",Max,Max,1.0,1:45p,Full,3.101,3.108,1.919,2.08,3.0661363636363634,3.090227272727273,1.755,2.1709090909090905
LGST-8060,LGST-8060‐409,Negotiations,Cannot be taken Pass/Fail.,MW,3:30p - 4:59p,"Full, 20 Jan - 23 Apr",Max,Max,1.0,3:30p,Full,3.101,3.108,1.919,2.08,3.0661363636363634,3.090227272727273,1.755,2.1709090909090905
LGST-8080,LGST-8080‐401,Employment Law,,M,3:30p - 6:29p,"Full, 14 Jan - 29 Apr",Castaldo,Castaldo,1.0,3:30p,Full,3.387,3.42,1.673,1.813,3.37,3.4349999999999996,1.5699999999999998,1.47
LGST-8090,LGST-8090‐401MGMT-8150‐401,Sports Business Management,Cannot be taken Pass/Fail.,MW,1:45p - 3:14p,"Full, 20 Jan - 23 Apr",Digisi,Digisi,1.0,1:45p,Full,2.708,2.982,1.77,1.741,2.9877777777777776,3.182222222222222,1.8966666666666667,2.017777777777778
LGST-8130,LGST-8130‐001,Legal and Transactional Aspects of Entrepreneurship,Cannot be taken Pass/Fail.,M,3:30p - 6:29p,"Full, 20 Jan - 23 Apr",Borghese,Borghese,1.0,3:30p,Full,3.343,3.466,2.674,2.351,3.486444444444444,3.596888888888889,2.722888888888889,2.3317777777777775
MGMT-6110,MGMT-6110‐001,Managing Established Enterprises,Cannot be taken Pass/Fail.,MW,8:30a - 9:59a,"Full, 20 Jan - 23 Apr",Macduffie,Macduffie,1.0,8:30a,Full,2.741,3.033,2.198,2.56,2.419583333333334,2.6274999999999995,2.1300000000000003,2.480416666666667
MGMT-6110,MGMT-6110‐001,Managing Established Enterprises,Cannot be taken Pass/Fail.,MW,8:30a - 9:59a,"Full, 20 Jan - 23 Apr",Pongeluppe,Pongeluppe,1.0,8:30a,Full,2.741,3.033,2.198,2.56,2.835,3.3122222222222226,1.987222222222223,2.423333333333334
MGMT-6110,MGMT-6110‐001,Managing Established Enterprises,Cannot be taken Pass/Fail.,MW,8:30a - 9:59a,"Full, 20 Jan - 23 Apr",Tranchero,Tranchero,1.0,8:30a,Full,2.741,3.033,2.198,2.56,3.3216666666666668,3.785,1.7283333333333335,1.985
MGMT-6110,MGMT-6110‐002,Managing Established Enterprises,Cannot be taken Pass/Fail.,MW,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Macduffie,Macduffie,1.0,10:15a,Full,2.741,3.033,2.198,2.56,2.419583333333334,2.6274999999999995,2.1300000000000003,2.480416666666667
MGMT-6110,MGMT-6110‐002,Managing Established Enterprises,Cannot be taken Pass/Fail.,MW,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Pongeluppe,Pongeluppe,1.0,10:15a,Full,2.741,3.033,2.198,2.56,2.835,3.3122222222222226,1.987222222222223,2.423333333333334
MGMT-6110,MGMT-6110‐002,Managing Established Enterprises,Cannot be taken Pass/Fail.,MW,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Tranchero,Tranchero,1.0,10:15a,Full,2.741,3.033,2.198,2.56,3.3216666666666668,3.785,1.7283333333333335,1.985
MGMT-6110,MGMT-6110‐003,Managing Established Enterprises,Cannot be taken Pass/Fail.,MW,1:45p - 3:14p,"Full, 20 Jan - 23 Apr",Macduffie,Macduffie,1.0,1:45p,Full,2.741,3.033,2.198,2.56,2.419583333333334,2.6274999999999995,2.1300000000000003,2.480416666666667
